Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-20 04:04:29	238	4513	3	32	0	0	132	0	0	62	0	0	104	0	0	82.5	0	16.148		199.042	96.4981	0.00107655	0	0.00540863	0.111136	0.831439	2		0.0088623	12.4161	28.8117	0	53.1327	4.87844	
2021-04-20 05:32:34	724	4514	1	54	0	0	84	0	0	64	0	0	74	0	0	69	0	5.19		199.076	96.6548	0.00144556	0	0.00726136	0.0588235	0.456245	1		0	12.0705	28.6818	0	53.1327	4.87845	
2021-04-20 05:02:35	567	4515	2	102	0	0	152	0	0	110	0	0	132	0	0	124	0	5.939		199.076	94.8549	0.00582221	0	0.0292462	0.294414	1.55917	4		0.0088623	12.1325	29.0716	0	53.1327	4.87843	
2021-04-20 04:25:54	360	4516	1	66	0	0	80	0	0	68	0	0	78	0	0	73	0	1.408		199.067	89.0887	0.0798378	0	0.40106	1.97264	3.02392	4		0	12.1857	27.6422	0	53.1327	4.87843	
2021-04-20 04:42:44	452	4517	3	64	0	0	92	0	0	74	0	0	90	0	0	80	0	1.721		199.076	93.8283	0.158872	0	0.798048	1.00302	9.90999	4		0	12.1502	28.162	0	53.1327	4.87843	
2021-04-20 04:24:02	351	4521	1	48	0	0	62	0	0	50	0	0	60	0	0	55	0	1.408		199.061	102.544	0.210812	0	1.05903	0.712966	7.98494	4		0.0088623	12.1502	27.5123	0	53.1327	4.87843	
2021-04-20 04:36:29	418	4522	3	88	0	0	108	0	0	90	0	0	106	0	0	98	0	1.503		199.071	78.1414	0.27299	0	1.37132	0.611574	9.69329	2		0.0088623	12.3629	27.6422	0	53.1327	4.87843	
2021-04-20 04:43:33	456	4524	1	72	0	0	100	0	0	74	0	0	90	0	0	84	0	1.721		199.08	86.1631	0.0718662	0	0.360992	0.00207047	4.48272	4		0.0088623	12.3541	28.0321	0	53.1327	4.87843	
2021-04-20 04:25:42	359	4525	1	64	0	0	78	0	0	66	0	0	76	0	0	71	0	1.408		199.066	93.7356	0.118335	0	0.594449	1.31775	4.48204	4		0	12.3629	27.5123	0	53.1327	4.87843	
2021-04-20 04:10:49	274	4526	3	20	0	0	144	0	0	56	0	0	106	0	0	81.5	0	20.331		199.045	103.269	0.00120419	0	0.00604983	0.0317066	1.22218	2		0	12.3984	28.0321	0	53.1327	4.87843	
2021-04-20 03:42:39	131	4528	1	16	0	0	62	0	0	32	0	0	48	0	0	39.5	0	7.827		199.008	104.789	0.0042958	0	0.0215861	0.0153264	1.95586	2		0	12.4161	25.9529	0	53.1327	4.87845	
2021-04-20 03:51:07	176	4530	1	8	0	0	82	0	0	32	0	0	58	0	0	45	0	12.646		199.023	114.766	0.000958547	0	0.00481627	0.15957	0.698343	2		0	12.425	27.6422	0	53.1327	4.87844	
2021-04-20 04:52:47	508	4531	3	104	0	0	140	0	0	108	0	0	124	0	0	119	0	3.092		199.078	92.7709	0.0153384	0	0.0770474	0.00231703	2.09342	4		0.0088623	12.1414	28.292	0	53.1327	4.87843	
2021-04-20 04:58:15	539	4532	3	94	0	0	140	0	0	108	0	0	124	0	0	116.5	0	7.827		199.086	103.223	0.00517791	0	0.0260084	0.0828657	2.35656	2		0.0088623	12.3275	28.292	0	53.1327	4.87845	
2021-04-20 04:09:14	264	4533	3	20	0	0	132	0	0	54	0	0	100	0	0	76.5	0	18.247		199.047	95.916	0.00115709	0	0.00581314	0.181362	1.0335	2		0.0088623	12.2211	28.4219	0	53.1327	4.87843	
2021-04-20 04:37:41	425	4534	3	40	0	0	58	0	0	42	0	0	56	0	0	49	0	1.478		199.069	80.4067	0.0797208	0	0.400469	0.00326916	2.87568	3		0.0088623	11.8312	27.9021	0	53.1327	4.87843	
2021-04-20 04:59:58	551	4535	2	104	0	0	148	0	0	118	0	0	140	0	0	127.5	0	5.871		199.081	95.1359	0.00728807	0	0.0366085	0.428842	1.69984	2		0	12.3275	28.5519	0	53.1327	4.87842	
2021-04-20 05:07:20	594	4536	1	86	0	0	148	0	0	106	0	0	128	0	0	117	0	10.571		199.081	108.075	0.00273996	0	0.013763	0.0268379	1.65089	2		0.0088623	12.1059	29.4615	0	53.1327	4.87843	
2021-04-20 03:35:41	94	4537	2	16	0	0	40	0	0	20	0	0	32	0	0	27	0	3.026		198.978	81.6773	0.00648197	0	0.0325763	0.336904	0.779744	4		0	12.2034	26.0829	0	53.1327	4.87845	
2021-04-20 04:07:51	255	4540	2	12	0	0	128	0	0	52	0	0	90	0	0	70.5	0	20.121		199.042	112.533	0.00163919	0	0.00823543	0.139214	2.04223	2		0.0088623	12.3984	28.8117	0	53.1327	4.87843	
2021-04-20 05:06:02	588	4543	3	62	0	0	124	0	0	74	0	0	100	0	0	90	0	8.446		199.085	96.1396	0.00287891	0	0.0144607	0.0253669	1.15473	2		0.0088623	12.1148	28.6818	0	53.1327	4.87842	
2021-04-20 04:46:14	469	4545	1	104	0	0	132	0	0	114	0	0	124	0	0	118.5	0	4.674		199.086	81.7265	0.00941655	0	0.0472988	0.462278	2.48808	2		0.0088623	12.3275	28.162	0	53.1327	4.87845	
2021-04-20 04:19:28	328	4546	3	78	0	0	86	0	0	82	0	0	84	0	0	82.5	0	1.191		199.057	92.2655	0.123739	0	0.621627	1.52925	11.7174	4		0.0088623	12.3806	27.2524	0	53.1327	4.87843	
2021-04-20 04:56:38	529	4547	1	64	0	0	110	0	0	78	0	0	94	0	0	86.5	0	7.827		199.087	87.659	0.00431716	0	0.0216848	0.00314513	1.9648	2		0.0088623	12.1325	28.4219	0	53.1327	4.87843	
2021-04-20 04:57:58	537	4548	1	86	0	0	132	0	0	92	0	0	112	0	0	105.5	0	4.549		199.085	94.8681	0.00507407	0	0.0254869	0.0131474	1.04526	2		0.0088623	12.3275	28.6818	0	53.1327	4.87844	
2021-04-20 03:56:32	203	4549	2	0	0	0	82	0	0	24	0	0	60	0	0	41.5	0	12.993		199.035	92.3793	0.000201653	0	0.00101315	0.0796139	0.119628	2		0.0088623	12.2211	28.4219	0	53.1327	4.87843	
2021-04-20 03:54:26	193	4550	2	36	0	0	108	0	0	54	0	0	86	0	0	71	0	11.216		199.034	112	0.000772903	0	0.00388328	0.102072	0.390442	2		0	12.4338	28.0321	0	53.1327	4.87844	
2021-04-20 04:59:06	545	4552	2	80	0	0	124	0	0	86	0	0	106	0	0	99	0	4.597		199.081	90.252	0.00516258	0	0.0259321	0.0492419	1.03488	2		0	12.1148	28.5519	0	53.1327	4.87842	
2021-04-20 04:26:32	363	4554	2	72	0	0	86	0	0	76	0	0	84	0	0	79.5	0	1.607		199.064	87.8286	0.148104	0	0.744002	1.32195	8.24948	4		0	12.1857	27.6422	0	53.1327	4.87843	
2021-04-20 04:40:25	440	4556	3	136	0	0	160	0	0	144	0	0	152	0	0	148	0	4.152		199.077	95.0755	0.00507031	0	0.0254691	0.258954	1.28022	4		0.0088623	12.3541	27.9021	0	53.1327	4.87844	
2021-04-20 05:13:39	629	4557	1	52	0	0	128	0	0	76	0	0	102	0	0	89.5	0	13.043		199.075	90.9398	0.000897956	0	0.00451065	0.07012	0.692983	4		0	12.292	29.4615	0	53.1327	4.87843	
2021-04-20 03:44:39	143	4558	2	24	0	0	80	0	0	36	0	0	62	0	0	50.5	0	8.181		199.013	91.5605	0.00293778	0	0.0147617	0.0305048	1.03233	2		0	12.3984	26.2128	0	53.1327	4.87844	
2021-04-20 04:42:44	452	4559	2	64	0	0	92	0	0	72	0	0	82	0	0	77.5	0	4.674		199.076	93.8283	0.00804619	0	0.0404177	0.0168631	2.12611	4		0	12.1502	28.162	0	53.1327	4.87843	
2021-04-20 03:37:38	105	4562	3	8	0	0	42	0	0	12	0	0	28	0	0	22.5	0	3.143		198.99	115.606	0.0065428	0	0.03288	0.622694	0.867684	4		0.0088623	12.23	25.823	0	53.1327	4.87844	
2021-04-20 04:08:26	259	4565	1	28	0	0	144	0	0	62	0	0	110	0	0	86	0	18.874		199.042	106.044	0.00111565	0	0.00560509	0.0301751	1.02278	2		0.0088623	12.2034	28.5519	0	53.1327	4.87843	
2021-04-20 04:35:21	410	4566	2	72	0	0	92	0	0	74	0	0	88	0	0	81.5	0	1.781		199.068	84.6778	0.0853836	0	0.428917	0.0382847	4.26456	2		0.0088623	12.1857	27.9021	0	53.1327	4.87843	
2021-04-20 03:43:26	136	4567	1	24	0	0	68	0	0	40	0	0	54	0	0	46.5	0	7.629		199.014	82.2796	0.00102128	0	0.00513172	0.00778589	0.496965	2		0	12.4161	25.9529	0	53.1327	4.87844	
2021-04-20 04:13:04	290	4569	2	12	0	0	148	0	0	52	0	0	106	0	0	79.5	0	22.421		199.042	110.599	0.00126831	0	0.00637207	0.040314	1.44253	2		0	12.3984	27.6422	0	53.1327	4.87843	
2021-04-20 05:00:54	557	4570	1	54	0	0	110	0	0	72	0	0	92	0	0	82	0	9.531		199.085	85.612	0.00303825	0	0.0152611	0.0439579	1.63969	2		0.0088623	12.1148	28.4219	0	53.1327	4.87842	
2021-04-20 05:01:36	562	4571	1	64	0	0	120	0	0	82	0	0	102	0	0	92	0	9.531		199.085	82.3705	0.000926136	0	0.00465197	0.0782646	0.499819	2		0.0088623	12.097	28.4219	0	53.1327	4.87843	
2021-04-20 04:21:14	337	4573	2	96	0	0	104	0	0	98	0	0	100	0	0	99.5	0	1.191		199.061	67.0453	0.138503	0	0.695783	0.00709457	13.1152	4		0.0088623	12.292	27.5123	0	53.1327	4.87843	
2021-04-20 04:18:14	322	4574	1	66	0	0	74	0	0	68	0	0	72	0	0	70	0	1.191		199.055	86.3812	0.140321	0	0.704936	0.940524	6.64387	4		0	12.1857	27.3823	0	53.1327	4.87843	
2021-04-20 04:54:02	514	4575	1	88	0	0	128	0	0	100	0	0	114	0	0	107.5	0	6.78		199.073	104.344	0.00176838	0	0.00888304	0.0136576	0.692598	4		0	12.1325	28.292	0	53.1327	4.87843	
