Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-23 20:01:27	488	4585	3	25	0	0	43	0	0	31	0	0	33	0	0	33	0	2.989		199.087	417.053	0.0957764	0	0.481079	0.0349188	51.8178	1		0.0088623	12.1591	30.3711	0	51.6727	4.02733	
2021-04-23 20:11:04	579	4586	3	33	0	0	42	0	0	40	0	0	41	0	0	39	0	0.536		199.083	469.363	2.65267	0	13.3244	0.0813852	161.666	1		0	12.4693	30.2411	0	51.6727	4.02733	
2021-04-23 20:10:58	578	4587	2	33	0	0	42	0	0	35	0	0	36	0	0	36.5	0	1.018		199.082	471.365	0.557816	0	2.80195	0.00382592	92.427	1		0.0088623	12.1857	30.501	0	51.6727	4.02733	
2021-04-23 20:06:45	539	4588	3	28	0	0	37	0	0	35	0	0	36	0	0	34	0	0.536		199.075	435.467	1.97035	0	9.89751	0.0420456	120.087	1		0.0088623	12.4958	30.2411	0	51.6727	4.02733	
2021-04-23 19:26:18	332	4589	1	6	0	0	72	0	0	60	0	0	66	0	0	51	0	3.177		190.98	595.136	0.156773	0	0.820885	0.473179	60.5478	1		0.0088623	12.2211	30.2411	0	51.6727	4.02733	
2021-04-23 20:08:30	556	4590	2	39	0	0	48	0	0	41	0	0	42	0	0	42.5	0	1.018		199.074	495.26	0.681765	0	3.42467	0.0254231	112.969	1		0.0088623	12.1857	30.3711	0	51.6727	4.02733	
2021-04-23 20:00:51	482	4591	1	24	0	0	42	0	0	26	0	0	28	0	0	30	0	1.071		199.089	408.083	0.556306	0	2.79426	0.0403072	67.8058	1		0.0088623	12.2566	30.2411	0	51.6727	4.02733	
2021-04-23 20:09:59	570	4592	3	32	0	0	41	0	0	35	0	0	36	0	0	36	0	1.495		199.061	556.64	0.309544	0	1.55502	0.0126637	83.747	1		0.0088623	12.2034	30.3711	0	51.6727	4.02732	
2021-04-23 20:06:14	534	4593	3	36	0	0	45	0	0	39	0	0	40	0	0	40	0	1.495		199.074	465.413	0.335304	0	1.68432	0.0104936	90.7105	1		0.0088623	12.5047	30.1112	0	51.6727	4.02732	
2021-04-23 19:57:18	448	4594	4	18	0	0	36	0	0	26	0	0	28	0	0	27	0	3.413		199.098	337.529	0.074048	0	0.371918	0.848936	46.7366	1		0.0088623	12.5402	31.0208	0	51.6727	4.02734	
2021-04-23 20:00:16	476	4595	4	23	0	0	41	0	0	31	0	0	33	0	0	32	0	3.413		199.072	503.526	0.079727	0	0.400493	0.0422515	50.3274	1		0.0088623	12.1679	30.3711	0	51.6727	4.02733	
2021-04-23 20:09:06	562	4596	4	31	0	0	40	0	0	35	0	0	36	0	0	35.5	0	1.706		191.956	592.101	0.241477	0	1.25798	0.917147	79.041	1		0	12.2034	30.3711	0	51.6727	4.02732	
2021-04-23 20:12:23	592	4597	4	35	0	0	44	0	0	39	0	0	40	0	0	39.5	0	1.706		199.098	404.361	0.280212	0	1.40741	0.121271	88.4302	1		0.0088623	12.2034	30.501	0	51.6727	4.02734	
2021-04-23 19:59:40	470	4598	2	22	0	0	40	0	0	26	0	0	28	0	0	29	0	2.035		199.07	512.914	0.131225	0	0.659193	0.105134	43.4893	1		0.0088623	12.292	30.501	0	51.6727	4.02734	
2021-04-23 20:11:53	587	4599	1	34	0	0	43	0	0	39	0	0	40	0	0	39	0	1.495		199.087	412.256	0.355884	0	1.78758	0.144608	96.2717	1		0.0088623	12.1502	30.501	0	51.6727	4.02733	
2021-04-23 19:28:45	353	4600	4	8	0	0	68	0	0	32	0	0	38	0	0	36.5	0	11.098		184.392	579.435	0.0076396	0	0.0414313	0.448932	18.7431	4		0	12.5756	29.5914	0	51.6727	4.02733	
2021-04-23 19:58:30	458	4601	4	20	0	0	38	0	0	28	0	0	30	0	0	29	0	3.413		199.105	324.164	0.0708175	0	0.355679	0.10242	44.696	1		0	12.5402	30.7609	0	51.6727	4.02734	
